"","item","group1","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"MonthlyRate5","167","5",19,1711,22458.2291057861,2186.21061276956,22266,22407.5573411249,2618.2716,18611,26862,8251,0.14877564545246,-1.05098219963639,52.8526775028522
"MonthlyRate6","168","6",19,1074,7854.75232774674,3493.70547446821,7770,7805.84534883721,3810.282,2125,13871,11746,0.12099715984899,-1.17399823564371,106.606614012192
"MonthlyRate7","169","7",19,1484,6520.13881401617,2348.07405353685,6729,6595.21632996633,2846.592,2094,10195,8101,-0.236893864934319,-1.10394666374591,60.9529653898814
"MonthlyRate8","170","8",19,4202,17602.4681104236,1757.96091102204,17519,17603.7334919691,2272.8258,14408,20623,6215,0.031898332674451,-1.2081615442198,27.1194695192685
"MonthlyRate9","171","9",19,3971,23757.5504910602,1767.4177214719,23553,23726.9159584514,2172.009,20682,26999,6317,0.164129765431556,-1.09491794646603,28.0471838753453
"NumCompaniesWorked1","172","1",20,4340,2.66405529953917,2.5177952794216,2,2.31134792626728,1.4826,0,9,9,1.08008127923603,0.099007839173333,0.038218668288917
"NumCompaniesWorked2","173","2",20,1200,2.34416666666667,2.17860917112026,1,1.88645833333333,0,0,9,9,1.65243747740423,1.89589723806151,0.062891029570263
"NumCompaniesWorked3","174","3",20,1313,2.98248286367098,2.58197863038456,2,2.74215033301618,2.9652,0,9,9,0.680095127318242,-0.732143931567275,0.071255809868616
"NumCompaniesWorked4","175","4",20,4237,2.79655416568327,2.62292814458517,2,2.45296372751401,1.4826,0,9,9,0.98696588109515,-0.186606136664983,0.040295556801713
"NumCompaniesWorked5","176","5",20,1711,2.87025131502046,2.51349524723172,2,2.6355003652301,2.9652,0,9,9,0.676299894422254,-0.701173260718342,0.060764938625285
"NumCompaniesWorked6","177","6",20,1074,2.31843575418994,2.00211793079802,1,1.94302325581395,1.4826,0,9,9,1.4920488284579,1.44791373051256,0.061092446119249
"NumCompaniesWorked7","178","7",20,1484,2.60040431266846,2.47741514704284,2,2.30639730639731,2.9652,0,9,9,0.822039104247686,-0.469341738588828,0.064310492885271
"NumCompaniesWorked8","179","8",20,4202,2.6020942408377,2.44427061434561,2,2.23914336704343,1.4826,0,9,9,1.13599252482664,0.437898519605349,0.037706937626987
"NumCompaniesWorked9","180","9",20,3971,2.74036766557542,2.54616415517347,1,2.40887629839471,1.4826,0,9,9,0.990041997768478,-0.11795680965348,0.040405125154845
"OverTime1","181","1",21,4340,1.57004608294931,0.902699593990645,1,1.46255760368664,0,1,3,2,0.952106939660815,-1.09305061090562,0.013702454933188
"OverTime2","182","2",21,1200,1.6525,0.937626277289208,1,1.565625,0,1,3,2,0.740264492800001,-1.45214023361489,0.02706693917961
"OverTime3","183","3",21,1313,1.70830159939071,0.956874800889977,1,1.63558515699334,0,1,3,2,0.609225446360973,-1.63008411167372,0.026407224319332
"OverTime4","184","4",21,4237,1.54425300920463,0.88968389426916,1,1.43055145974639,0,1,3,2,1.02366165359574,-0.950836405202642,0.013668048044359
"OverTime5","185","5",21,1711,1.54763296317943,0.891764763746674,1,1.43462381300219,0,1,3,2,1.0135776548371,-0.972304635488017,0.021558835727634
"OverTime6","186","6",21,1074,1.45810055865922,0.840834873986502,1,1.32325581395349,0,1,3,2,1.28775553019231,-0.342001531612256,0.025657159572878
"OverTime7","187","7",21,1484,1.49528301886792,0.863185377565681,1,1.36952861952862,0,1,3,2,1.16811210384745,-0.634728573080529,0.022407175942582
"OverTime8","188","8",21,4202,1.57044264635888,0.903015258548587,1,1.46311719214753,0,1,3,2,0.951019244455414,-1.09546521572778,0.01393051155239
"OverTime9","189","9",21,3971,1.580206497104,0.907456410076823,1,1.47529115517784,0,1,3,2,0.92469325754646,-1.1444883186512,0.014400442228841
"PercentSalaryHike1","190","1",22,4340,15.1864055299539,3.65075353397269,14,14.7894585253456,2.9652,11,25,14,0.787068949157816,-0.348298048827222,0.05541631579814
"PercentSalaryHike2","191","2",22,1200,15.2941666666667,3.94617234828775,14,14.8760416666667,2.9652,11,25,14,0.817443540318598,-0.591616577472884,0.11391618337763
"PercentSalaryHike3","192","3",22,1313,15.3907083015994,3.91765144784843,14,14.9562321598478,4.4478,11,25,14,0.778892175587831,-0.41700891139595,0.108116861779689
